"","x"
"878","Unidentified"
"879","UNIDENTIFIED"
"880","unk"
"881","Unknown"
"882","Unknown..alete."
"883","Unknown..monolete."
"884","Unknown..monolete..undiff."
"885","Unknown..trilete."
"886","Unknown..trilete..undiff."
"887","Unknown.Indeterminable"
"888","Unknown.pollen.spore.NISP"
"889","Unknown.spore.NISP"
"890","Unknown.undiff."
"891","Urtica"
"892","Urtica.spp"
"893","Urtica.spp."
"894","Urtica.type"
"895","Urticaceae"
"896","Urticaceae.Moraceae"
"897","Urticales"
"898","Utricularia"
"899","Utricularia.t."
"900","Vaccinium"
"901","Valeriana"
"902","Verbena"
"903","Verbenaceae"
"904","Vesciculate.conif"
"905","vesiculate.conif"
"906","Vesiculate.conif."
"907","Viburnum"
"908","Vicia.type"
"909","Viola"
"910","Violaceae"
"911","Vitaceae"
"912","Vitis"
"913","VItis"
"914","Vitis.riparia"
"915","Volume..cc."
"916","Woodsia"
"917","Woodsia.type"
"918","X"
"919","X.1"
"920","Xanthium"
"921","Xanthium.t."
"922","Xyris"
"923","Zea"
"924","Zea.mays"
